GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
718	0.0001	7.54e-09	0.3206	5.7784967	1.85241152	1930.65	C3	complement C3
7128	0.000218	3.28e-08	0.2221	5.5256605	1.22742532	194.49	TNFAIP3	TNF alpha induced protein 3
5266	0.000945	2.13e-07	0.3136	5.1872149	1.62691853	333.87	PI3	peptidase inhibitor 3
629	0.001252	3.77e-07	0.3127	5.0802151	1.58857735	194.52	CFB	complement factor B
3460	0.001256	4.73e-07	0.0899	5.0371188	0.45287949	480.56	IFNGR2	interferon gamma receptor 2
6303	0.001496	6.75e-07	0.1886	4.9682834	0.93694738	1800.05	SAT1	spermidine/spermine N1-acetyltransferase 1
4643	0.002018	1.06e-06	0.0884	4.8794894	0.43148704	1607.33	MYO1E	myosin IE
6703	0.009813	6.65e-06	0.6509	4.5046352	2.93195085	38.82	SPRR2D	small proline rich protein 2D
7764	0.009813	6.33e-06	0.0733	4.5151644	0.33081637	832.61	ZNF217	zinc finger protein 217
4791	0.009902	7.45e-06	0.2394	4.4803008	1.07245133	409.03	NFKB2	nuclear factor kappa B subunit 2
467	0.019017	1.57e-05	0.275	4.3179613	1.18734891	90.68	ATF3	activating transcription factor 3
1846	0.022532	2.04e-05	0.2716	4.2609722	1.15716485	78.7	DUSP4	dual specificity phosphatase 4
3934	0.022919	2.24e-05	0.3905	4.239229	1.65521711	3445.86	LCN2	lipocalin 2
10644	0.049922	5.26e-05	0.1049	4.0437064	0.42399283	1632.73	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2
80149	0.054743	6.18e-05	0.2946	4.0057749	1.18001491	274.15	ZC3H12A	zinc finger CCCH-type containing 12A
51121	0.059487	7.61e-05	0.0996	-3.9562737	-0.39398899	520.58	RPL26L1	ribosomal protein L26 like 1
4609	0.059487	7.22e-05	0.307	3.9687964	1.21833763	1587.94	MYC	MYC proto-oncogene, bHLH transcription factor
134285	0.083471	1.13e-04	0.3565	3.8606096	1.37644936	179.12	TMEM171	transmembrane protein 171
100128731	0.087563	1.38e-04	0.1076	-3.8109684	-0.40987573	1118	OST4	oligosaccharyltransferase complex subunit 4, non-catalytic
25984	0.087563	1.37e-04	0.6075	3.8137708	2.31674208	46.88	KRT23	keratin 23
3976	0.087563	1.33e-04	0.3506	3.820834	1.33970878	37.89	LIF	LIF interleukin 6 family cytokine
23196	0.102169	1.77e-04	0.0796	3.7499118	0.29867	6522.14	FAM120A	family with sequence similarity 120A
5329	0.102169	1.77e-04	0.2681	3.7503564	1.00535436	378.93	PLAUR	plasminogen activator, urokinase receptor
1364	0.108556	1.96e-04	0.196	3.7239551	0.7299844	1055.98	CLDN4	claudin 4
3656	0.158716	3.34e-04	0.4199	3.5876367	1.50643678	21.2	IRAK2	interleukin 1 receptor associated kinase 2
4636	0.158716	3.89e-04	0.1515	-3.5474734	-0.53737155	261.7	MYL5	myosin light chain 5
3576	0.158716	3.28e-04	0.9275	3.5923232	3.33197845	71.65	CXCL8	C-X-C motif chemokine ligand 8
23092	0.158716	4.02e-04	0.2066	3.5389212	0.73117673	183.15	ARHGAP26	Rho GTPase activating protein 26
10318	0.158716	3.85e-04	0.2266	3.5500752	0.80446925	1191.09	TNIP1	TNFAIP3 interacting protein 1
5328	0.158716	3.56e-04	0.2305	3.5709055	0.82295613	1324.82	PLAU	plasminogen activator, urokinase
5829	0.158716	3.73e-04	0.1845	3.5583547	0.65636517	3678.26	PXN	paxillin
6662	0.158716	4.06e-04	0.2042	3.536003	0.7220524	469.71	SOX9	SRY-box transcription factor 9
10331	0.158716	3.90e-04	0.2614	3.5470436	0.92719309	77.69	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3
9582	0.158716	3.45e-04	0.1202	3.5791939	0.43012209	1883.41	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B
6704	0.179657	4.73e-04	0.4433	3.4954001	1.54948446	22.51	SPRR2E	small proline rich protein 2E
6698	0.189162	5.27e-04	0.2525	3.4667085	0.87521402	182.5	SPRR1A	small proline rich protein 1A
6764	0.189162	5.27e-04	0.2298	3.4668661	0.79683831	660.32	DENND2B	DENN domain containing 2B
5214	0.218371	6.41e-04	0.1537	3.4135992	0.52470787	1524.95	PFKP	phosphofructokinase, platelet
414236	0.218371	6.25e-04	0.2332	3.4205635	0.79764907	422.1	C10orf55	chromosome 10 putative open reading frame 55
4792	0.255348	7.69e-04	0.21	3.3637583	0.70650496	919.08	NFKBIA	NFKB inhibitor alpha
5701	0.266971	8.44e-04	0.1388	-3.3379191	-0.46344049	1554.73	PSMC2	proteasome 26S subunit, ATPase 2
2185	0.266971	8.41e-04	0.189	3.3390873	0.63112771	592.11	PTK2B	protein tyrosine kinase 2 beta
4070	0.326238	1.08e-03	0.1792	3.2686595	0.58572388	17220.48	TACSTD2	tumor associated calcium signal transducer 2
57674	0.326238	1.06e-03	0.1437	3.2728417	0.47033713	2342.34	RNF213	ring finger protein 213
5879	0.342815	1.19e-03	0.0571	3.2419608	0.18506548	13883.88	RAC1	Rac family small GTPase 1
58191	0.342815	1.17e-03	0.3515	3.2463611	1.1412422	1244.76	CXCL16	C-X-C motif chemokine ligand 16
64976	0.366419	1.30e-03	0.0946	-3.2167701	-0.30415002	590.28	MRPL40	mitochondrial ribosomal protein L40
746	0.390392	1.45e-03	0.0969	-3.1853191	-0.30875121	1382.16	TMEM258	transmembrane protein 258
330	0.390392	1.46e-03	0.455	3.1828872	1.44823147	177.86	BIRC3	baculoviral IAP repeat containing 3
9572	0.390392	1.47e-03	0.3806	3.1806587	1.21065383	241.17	NR1D1	nuclear receptor subfamily 1 group D member 1
3134	0.404131	1.60e-03	0.1866	3.1556245	0.58872857	231.3	HLA-F	major histocompatibility complex, class I, F
11226	0.404131	1.61e-03	0.1482	3.1536564	0.46727229	286.86	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6
79086	0.404131	1.60e-03	0.0676	-3.1561986	-0.21328219	870.36	SMIM7	small integral membrane protein 7
340061	0.405488	1.65e-03	0.3689	3.1472174	1.16091873	312.83	STING1	stimulator of interferon response cGAMP interactor 1
2004	0.417221	1.73e-03	0.1826	3.1334868	0.57219134	679.31	ELK3	ETS transcription factor ELK3
5359	0.438412	1.90e-03	0.1309	3.105242	0.40652134	1303.12	PLSCR1	phospholipid scramblase 1
200879	0.438412	1.90e-03	0.2223	3.1058578	0.69047917	139.47	LIPH	lipase H
6892	0.438412	1.91e-03	0.2514	3.103235	0.78003592	4152.7	TAPBP	TAP binding protein
3433	0.495998	2.20e-03	0.2893	3.0614139	0.88559972	582.16	IFIT2	interferon induced protein with tetratricopeptide repeats 2
6700	0.500334	2.30e-03	0.5064	3.0488059	1.54399879	71.45	SPRR2A	small proline rich protein 2A
100507459	0.500334	2.28e-03	0.1686	-3.0513418	-0.51444719	97.12	NRSN2-AS1	NRSN2 antisense RNA 1
80223	0.533025	2.55e-03	0.2423	3.0168374	0.73088996	851.14	RAB11FIP1	RAB11 family interacting protein 1
26259	0.533025	2.57e-03	0.1584	3.0152091	0.47748663	291.78	FBXW8	F-box and WD repeat domain containing 8
5971	0.533025	2.49e-03	0.4043	3.02452	1.22292605	60.03	RELB	RELB proto-oncogene, NF-kB subunit
2919	0.551732	2.70e-03	0.5521	3.0000128	1.65636205	251.4	CXCL1	C-X-C motif chemokine ligand 1
216	0.552441	2.74e-03	0.7239	-2.9949676	-2.16816148	112.76	ALDH1A1	aldehyde dehydrogenase 1 family member A1
57115	0.622888	3.14e-03	0.4037	2.9535287	1.19245208	33.4	PGLYRP4	peptidoglycan recognition protein 4
4660	0.635552	3.25e-03	0.169	2.9427269	0.49724905	450.44	PPP1R12B	protein phosphatase 1 regulatory subunit 12B
56477	0.636577	3.31e-03	0.3046	2.9377046	0.89496345	71.52	CCL28	C-C motif chemokine ligand 28
79628	0.649537	3.42e-03	0.5252	2.9269778	1.53739177	40.22	SH3TC2	SH3 domain and tetratricopeptide repeats 2
9641	0.650423	3.48e-03	0.2506	2.9221391	0.7322688	143.7	IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon
154467	0.672004	3.64e-03	0.1971	-2.9075861	-0.57313041	66.26	CCDC167	coiled-coil domain containing 167
10406	0.674718	3.71e-03	0.249	2.901695	0.72255169	2915.99	WFDC2	WAP four-disulfide core domain 2
11040	0.674718	3.76e-03	0.2408	2.8977424	0.69767033	144.32	PIM2	Pim-2 proto-oncogene, serine/threonine kinase
2661	0.737001	4.33e-03	0.2063	-2.853249	-0.5887052	132.61	GDF9	growth differentiation factor 9
105376714	0.737001	4.29e-03	0.4934	2.8560334	1.40906086	19.19	LOC105376714	uncharacterized LOC105376714
440359	0.737001	4.30e-03	0.2009	2.8550272	0.57347644	247.68	YBX3P1	Y-box binding protein 3 pseudogene 1
976	0.737001	4.21e-03	0.341	2.8618207	0.97599351	234.51	ADGRE5	adhesion G protein-coupled receptor E5
54919	0.741666	4.74e-03	0.1132	2.8243194	0.31984894	975.44	DNAAF5	dynein axonemal assembly factor 5
6289	0.741666	4.72e-03	0.6462	2.8255431	1.82582773	201.77	SAA2	serum amyloid A2
23788	0.741666	4.72e-03	0.0796	-2.8256456	-0.22504467	1853.25	MTCH2	mitochondrial carrier 2
10205	0.741666	4.75e-03	0.1726	2.8238081	0.48732625	1618.64	MPZL2	myelin protein zero like 2
1848	0.741666	4.58e-03	0.4704	2.835297	1.33362628	112.31	DUSP6	dual specificity phosphatase 6
23034	0.741666	4.56e-03	0.469	2.8362367	1.33030455	104.95	SAMD4A	sterile alpha motif domain containing 4A
79583	0.741666	4.57e-03	0.2165	2.8360167	0.61393495	175.08	TMEM231	transmembrane protein 231
389541	0.752453	4.87e-03	0.1439	-2.8154206	-0.40525969	378.85	LAMTOR4	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4
60312	0.761934	5.02e-03	0.1214	2.8059369	0.34070694	523.69	AFAP1	actin filament associated protein 1
100506649	0.761934	5.10e-03	0.2227	2.8003454	0.62369039	198.31	PXN-AS1	PXN antisense RNA 1
79789	0.761934	5.09e-03	0.2599	2.8014496	0.72801749	676.82	CLMN	calmin
9265	0.784043	5.31e-03	0.14	2.7874819	0.39011273	867.83	CYTH3	cytohesin 3
83696	0.785039	5.44e-03	0.2236	2.7799405	0.62146248	244.28	TRAPPC9	trafficking protein particle complex subunit 9
9500	0.785039	5.44e-03	0.2271	2.7799506	0.63140013	463.74	MAGED1	MAGE family member D1
8506	0.785484	5.50e-03	0.3201	2.7762439	0.88877711	53.83	CNTNAP1	contactin associated protein 1
65249	0.790675	5.59e-03	0.2703	2.7706203	0.74903638	81.92	ZSWIM4	zinc finger SWIM-type containing 4
835	0.793353	5.67e-03	0.1384	2.7660701	0.38291403	953.95	CASP2	caspase 2
54475	0.807853	5.96e-03	0.2392	2.7499866	0.6579262	173.81	NLE1	notchless homolog 1
23315	0.807853	5.92e-03	0.1783	2.7522094	0.49078664	363.5	SLC9A8	solute carrier family 9 member A8
440836	0.807853	5.91e-03	0.3512	2.7525831	0.96674999	96.76	ODF3B	outer dense fiber of sperm tails 3B
64781	0.808614	6.03e-03	0.1907	-2.7463494	-0.52359273	498.16	CERK	ceramide kinase
126638	0.871211	6.56e-03	0.2875	-2.7184029	-0.78154556	46.42	RPTN	repetin
51258	0.871211	6.62e-03	0.1527	-2.7151821	-0.41465298	1191.15	MRPL51	mitochondrial ribosomal protein L51
